Timestamp;Age;Gender;Current Status;Resident Type;Salary per annum;Work Experience (in Years) ;What is your preferred choice? ;What according to you is the main driving force for the Work from Home culture? ;What according to you is the main driving force for the Work from Office culture? ;Do you think work from home gives more flexibility to develop soft skills than work from office? Answer this on a range of 1-5;How satisfied are you with your company's decision related to WFH/WFO
10.06.2021 13:29;20-25;Female;Both of the above options;Town;< 3 lakhs per annum;1;Hybrid;Ease of doing work and comfort;Builds behavioral and intrapersonal skills;4;
10.06.2021 21:06;20-25;Male;Working;Tier 1 City;6-12 lakhs per annum;1;Hybrid;Limited or no travel expenses;Increased work productivity;2;5
10.06.2021 21:08;20-25;Male;Working;Tier 1 City;3-6 lakhs per annum;1;Hybrid;Ease of doing work and comfort;Increased work productivity;3;5
10.06.2021 21:09;20-25;Male;Studying;Village;< 3 lakhs per annum;0;Work from Home only;More time with family;Builds behavioral and intrapersonal skills;3;4
10.06.2021 21:09;20-25;Female;Working;Town;3-6 lakhs per annum;0;Hybrid;Limited or no travel expenses;High room for growth;3;4
10.06.2021 21:10;20-25;Female;Working;Village;3-6 lakhs per annum;0;Okay with both of the options given above;Limited or no travel expenses;High room for growth;3;4
10.06.2021 21:14;20-25;Male;Studying;Tier 1 City;< 3 lakhs per annum;1;Work from Home only;Ease of doing work and comfort;Increased work productivity;5;5
10.06.2021 21:23;20-25;Female;Both of the above options;Town;3-6 lakhs per annum;0;Hybrid;Limited or no travel expenses;Helps understand company culture;4;5
10.06.2021 21:24;20-25;Female;Studying;Tier 1 City;< 3 lakhs per annum;0;Work from Office only;Ease of doing work and comfort;High room for growth;2;3
10.06.2021 21:26;20-25;Male;Working;Tier 3 City;3-6 lakhs per annum;0;Work from Home only;Ease of doing work and comfort;Helps understand company culture;4;4
10.06.2021 21:30;25-30;Female;Working;Tier 1 City;3-6 lakhs per annum;5;Hybrid;More time with family;Builds behavioral and intrapersonal skills;3;3
10.06.2021 21:31;20-25;Male;Both of the above options;Tier 1 City;3-6 lakhs per annum;1;Hybrid;Ease of doing work and comfort;Increased work productivity;4;4
10.06.2021 21:36;20-25;Male;Studying;Tier 1 City;< 3 lakhs per annum;0;Hybrid;Fear of COVID-19;Builds behavioral and intrapersonal skills;5;4
10.06.2021 21:37;20-25;Female;Working;Tier 1 City;3-6 lakhs per annum;1;Okay with both of the options given above;Ease of doing work and comfort;Increased work productivity;2;4
10.06.2021 21:39;25-30;Female;Working;Town;3-6 lakhs per annum;2;Work from Home only;More time with family;High room for growth;5;5
10.06.2021 21:45;20-25;Female;Studying;Tier 1 City;< 3 lakhs per annum;1;Hybrid;Limited or no travel expenses;Builds behavioral and intrapersonal skills;3;3
